Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.004580250003,5.517833809,-4.413076086,-2.525152239,7.503207602,1
0.01454845833,11.65706877,-12.3446604,-2.143179222,17.11347743,1
0.02451845834,19.30304583,-21.83239929,-0.106801879,29.14228275,1
0.03448745834,23.44993795,-24.34943384,3.998854067,34.04093641,1
0.04445745833,23.06955786,-23.36458497,6.172532512,33.4097065,1
0.05442645833,22.50460222,-22.56287557,6.70080915,32.56441798,1
0.06439645834,22.2956391,-20.35667433,8.380741689,31.33251576,1
0.07436545833,22.36537534,-20.63458547,9.997979797,32.03054373,1
0.08433545833,22.76265388,-21.98108229,9.944160855,33.16915322,1
0.09430445834,21.68340756,-20.87086444,9.831351693,31.66099528,1
0.1042744583,17.39568174,-16.45754511,10.96583783,26.33837758,1
0.1142434583,11.56420563,-11.70324657,9.344223665,18.9211878,1
0.1242134583,8.587388722,-7.368932476,7.154848369,13.38791493,1
0.1341824583,7.258118384,-5.350536198,5.162075175,10.39016555,1
0.1441524583,6.011848102,-4.625699558,1.660896344,7.765178084,1
0.1541214583,4.121567827,-3.186387545,-3.153809783,6.089901731,1
0.1640914583,1.642869962,-0.6413951182,-7.744372253,7.942651384,1
0.1740604583,-0.1640781337,1.624114434,-11.44188538,11.55774245,1
0.1840304583,-2.127676061,3.009515703,-13.39465661,13.89248055,1
0.1940004583,-4.110045889,5.09370953,-14.24809281,15.67949307,1
0.2039694583,-4.927791862,8.159464338,-13.19363284,16.27672997,1
0.2139394583,-5.466284171,9.629535044,-12.23148754,16.49901498,1
0.2239084583,-5.340728663,9.329003363,-11.75044295,15.92565842,1
0.2338784583,-5.262451403,8.314436603,-10.66130665,14.50816013,1
0.2438474583,-4.996135288,7.666892552,-9.16279158,12.94987872,1
0.2538174583,-4.612341594,7.760349185,-8.117885957,12.14070784,1
0.2637864583,-4.407046437,7.78815328,-7.629210756,11.7593472,1
0.2737564583,-4.305880836,7.679691523,-7.252105692,11.40663441,1
0.2837254583,-4.536899064,7.517265812,-6.717738594,11.05534939,1
0.2936954583,-4.865081059,7.314469755,-6.121555316,10.70719015,1
0.3036644583,-5.031501587,7.079618677,-5.510647581,10.28611907,1
0.3136344583,-5.155978868,6.730989554,-4.999565265,9.843068185,1
0.3236034583,-5.393274082,6.602301108,-4.62386821,9.698347409,1
0.3335734583,-5.605072512,6.55573973,-4.241758807,9.611819757,1
0.3435424583,-5.691019565,6.384577695,-3.75378878,9.340314033,1
0.3535124583,-5.702816908,6.124159082,-3.258001319,8.980090074,1
0.3634814583,-5.6809185,5.850176682,-2.813161524,8.626197307,1
0.3734514583,-5.637367269,5.60035264,-2.394115552,8.299135418,1
0.3834214583,-5.650725233,5.386766131,-1.99818143,8.058577668,1
0.3933904583,-5.708022099,5.24843855,-1.591166689,7.915771278,1
0.4033604583,-5.739015266,5.077025669,-1.281604421,7.768847775,1
0.4133294583,-5.756314838,4.858163218,-1.04365695,7.604349426,1
0.4232994583,-5.782128541,4.64821397,-0.8634713455,7.46890128,1
0.4332684583,-5.718102114,4.373826943,-0.7394195956,7.236974178,1
0.4432384583,-5.593856968,3.953665907,-0.6045354402,6.876639657,1
0.4532074583,-5.448584649,3.3860416,-0.4828583908,6.433156661,1
0.4631774583,-5.07266657,2.470557664,-0.4243537822,5.658239782,1
0.4731464583,-4.257502728,0.8235779858,-0.5692761451,4.373635273,1
0.4831164583,-2.424669008,-2.238002495,-0.9477403942,3.43305794,1
0.4930854583,0.1699797285,-6.792250248,-1.591803889,6.978351966,1
0.5030554583,3.976983141,-12.94611318,-2.105713334,13.70592099,1
0.5130244583,9.418158783,-20.81991414,-1.972400326,22.93601759,1
0.5229944583,12.87782589,-24.12573574,0.0293938069,27.3475847,1
0.5329634583,14.92435605,-24.19725187,4.13506554,28.728769,1
0.5429334583,15.32312797,-23.91110551,5.616516683,28.94968872,1
0.5529034583,12.84043061,-19.59169012,2.503181326,23.55794763,1
0.5628724583,11.20304183,-15.45174683,2.041575226,19.19459965,1
0.5728424583,11.2543605,-15.29307679,4.561195414,19.52801402,1
0.5828114583,12.99347329,-18.32253793,5.643630806,23.16023128,1
0.5927814583,16.11605836,-21.87937816,5.103186697,27.64917793,1
0.6027504583,17.46994372,-20.42377931,6.053153418,27.54941672,1
0.6127204583,17.15723814,-14.69835064,8.773281648,24.23598157,1
0.6226894583,15.55161494,-7.762602117,8.841939654,19.5010414,1
0.6326594583,13.66174689,-1.90799383,7.65278439,15.77494461,1
0.6426284583,11.13518489,2.757830492,6.795862073,13.3334809,1
0.6525984583,8.574958711,5.624540232,6.569270772,12.17869813,1
0.6625674583,7.060342746,5.9788815,6.055061949,11.05708998,1
0.6725374583,6.299616482,5.198231433,4.794449033,9.470666258,1
0.6825064583,5.699711452,4.967067609,2.977985762,8.125691999,1
0.6924764583,5.051389137,5.520838108,1.340942989,7.602257147,1
0.7024464583,4.25486154,6.054387181,-0.01861636519,7.399986313,1
0.7124154583,3.35728821,6.565937274,-1.184055907,7.468929294,1
0.7223854583,2.357518998,7.301121731,-2.004585155,7.92985725,1
